coverage_target,k,coverage_realized,n_obs,tickers_used,horizon_days,ewma_lambda,calibrated_at
0.8,1.2,0.8104,142441,158,1,0.94,2026-07-21 06:45
0.95,2.3,0.9567,142441,158,1,0.94,2026-07-21 06:45
0.8,1.2,0.8118,142283,158,2,0.94,2026-07-21 06:45
0.95,2.3,0.9563,142283,158,2,0.94,2026-07-21 06:45
0.8,1.2,0.8099,142125,158,3,0.94,2026-07-21 06:45
0.95,2.3,0.9566,142125,158,3,0.94,2026-07-21 06:45
0.8,1.2,0.8056,141809,158,5,0.94,2026-07-21 06:45
0.95,2.3,0.9551,141809,158,5,0.94,2026-07-21 06:45
0.8,1.3,0.8229,141019,158,10,0.94,2026-07-21 06:45
0.95,2.3,0.9514,141019,158,10,0.94,2026-07-21 06:45
